,id,title,body,tags,answers,score
0,41594266,Asyncio with Django,"<p>I'm trying to use asyncio in my Django post processing like:</p>

<pre><code>query : # a query to my model
tasks =  []        
for record in query:
    tasks.append(do_something_with_google_calendar(record))

loop = asyncio.get_event_loop()
loop.run_until_complete(asyncio.wait(tasks))
loop.close()
</code></pre>

<p>But I just get an error while executing:</p>

<pre><code>loop = asyncio.get_event_loop()

RuntimeError: There is no current event loop in thread 'Thread-17'.
</code></pre>

<p>Any ideas? </p>

<p>Thank you in advance</p>",python|django|multithreading|loops|python-asyncio,"<p>It looks that if I do like this, it works:</p>

<pre><code>query : # a query to my model
tasks =  []        
for record in query:
    tasks.append(do_something_with_google_calendar(record))

loop = asyncio.SelectorEventLoop()
asyncio.set_event_loop(loop)

loop.run_until_complete(asyncio.wait(tasks))
loop.close()
</code></pre>

<p>I hope it is stable and it will also work fine in UNIX as it does in Windows</p>",2
1,41594266,Asyncio with Django,"<p>I'm trying to use asyncio in my Django post processing like:</p>

<pre><code>query : # a query to my model
tasks =  []        
for record in query:
    tasks.append(do_something_with_google_calendar(record))

loop = asyncio.get_event_loop()
loop.run_until_complete(asyncio.wait(tasks))
loop.close()
</code></pre>

<p>But I just get an error while executing:</p>

<pre><code>loop = asyncio.get_event_loop()

RuntimeError: There is no current event loop in thread 'Thread-17'.
</code></pre>

<p>Any ideas? </p>

<p>Thank you in advance</p>",python|django|multithreading|loops|python-asyncio,"<p>Your original code woun't work since get_event_loop() method is only shortcut to get_event_loop_policy().get_event_loop() which create&amp;return event loop automatically for main thread only.
To make it work right you need to explicitly create and set new event loop for each current thread context:</p>

<pre><code>query : # a query to my model
tasks =  []        
for record in query:
    tasks.append(do_something_with_google_calendar(record))

loop = asyncio.new_event_loop()
asyncio.set_event_loop(loop)
loop.run_until_complete(asyncio.wait(tasks))
loop.close()
</code></pre>

<p>You may read more about this stuff <a href=""http://lucumr.pocoo.org/2016/10/30/i-dont-understand-asyncio/"" rel=""noreferrer"">here</a>.</p>",6
2,41347662,How to print individual values of an object?,"<p>I have a list that I've filled with objects. I'm able to print an entire object by using:</p>

<pre><code>print str(vars(theList[0]))
</code></pre>

<p>or in a loop:</p>

<pre><code>i = 0
for objects in theList:

     print str(vars(theList[i]))
     i+=1
</code></pre>

<p>What if I only want one of the values in the object and not the entire object. </p>

<p>Edit trying to clarify the question further:
Lets' say I have a list of ten objects with name, age, address, and phone number. What if I want index 1 object's name only and not the entire contents of the object at index one. That is the goal.</p>

<pre><code>print str(vars(theList[0].itemOne))
</code></pre>

<p>The above gives me <code>TypeError: vars() argument must have __dict__ attribute</code></p>

<p>I found another question that suggested using <code>dic</code> instead of <code>vars</code> but that didn't work. It only printed a long list:</p>

<p><code>['__add__', '__class__', '__contains__', '__delattr__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__getitem__', '__getnewargs__', '__getslice__', '__gt__', '__hash__', '__init__', '__le__', '__len__', '__lt__', '__mod__', '__mul__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__rmod__', '__rmul__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', '_formatter_field_name_split', '_formatter_parser', 'capitalize', 'center', 'count', 'decode', 'encode', 'endswith', 'expandtabs', 'find', 'format', 'index', 'isalnum', 'isalpha', 'isdigit', 'islower', 'isspace', 'istitle', 'isupper', 'join', 'ljust', 'lower', 'lstrip', 'partition', 'replace', 'rfind', 'rindex', 'rjust', 'rpartition', 'rsplit', 'rstrip', 'split', 'splitlines', 'startswith', 'strip', 'swapcase', 'title', 'translate', 'upper', 'zfill']</code></p>",python|list|object,"<pre><code>for object in list_name:
    print(object)   # &lt;--- the ""body""
</code></pre>

<p>This is the for loop syntax. It executes the body of the for loop once for every item in the list, assigning the item to the name, here it is <code>object</code>.</p>

<p>Replace <code>list_name</code> with your list's name and <code>object</code> to the appropriate name.</p>",2
3,44696252,How to find and replace different strings in a file at a time?,"<p>As per my know this may work for one condition but it is clears my file and replacing the find string in file.</p>

<pre><code> #!/usr/bin/python
    open('vpc.xml','r+') as p: #open a file in read and write mode
    p=rp.readlines()
    print p #printing what content read by p
    for line in p: #for loop up to end of line in file
          if ""&lt;mac address="" in  line: #if condition encounter by for loop line then it replaces the string specified in if condition.
             print line
             r.write(line.replace(""&lt;mac address="",""&lt;mac address1=""))
           elif ""&lt;source bridge="" in line:
             print line
             r.write(line.replace(""&lt;source bridge="",""&lt;source bridge1=""))
           elif ""&lt;target dev"" in line:
                 print line
                 r.write(line.replace(""&lt;target dev"",""&lt;target dev1""))
           else :
             print 'no changes'
             continue
</code></pre>",python,"<pre><code>#!/usr/bin/python
o = input(""enter how many vpcs"")
y = input(""enter how many eth interfaces"")
for k in range(1,o):
        h='vpc'+str(k)+'.xml'
        print h
#j = input(""enter how many eth interfaces"")
        ri=open(h,'r')
        line = ri.read()
        ri.close()
        for i in range(0,y)
                for s in range(i+1)
        dev_val={'network':'bridge','&lt;man':'&lt;manneth0','&lt;man':'vpc'+str(i)+_eth+str(i),}
                for key,val in dev_val.items():
                                line = line.replace(key,val)
                                print line
                with open(h,'w') as v:
                        v.write(line)
                        v.close()
</code></pre>",0
4,45246559,How to convert a string of numbers back into binary hex (\x values) type?,"<h2>Edited:</h2>
<p>The code below is reading a file (an image in this example) in binary mode:</p>
<pre><code>with open(&quot;img_80px.png&quot;, mode='rb') as file:
    file_content = file.read()
    binary_data = []
    for i in file_content:
        binary_data.append(i)
</code></pre>
<p>Now, printing out <code>file_content</code> will give us a string of hex values in binary <code>b' '</code> format:</p>
<pre><code>b'\x89PNG\r\n\x1a\n\x00\x00\x00\rIHDR\x00\x00\x00P\x00\x00\x00&lt;
\x08\x06\x00\x00\x00\xf1\'=\x8c\x00\x00\x00\tpHYs\x00\x00\x0fa
\x00\x00\x0fa\x01\xa8?\xa7i\x00\x009\xeeiTXtXML:com.adobe.xmp
\x00\\x00\x00\x00\x00&lt;?xpacket begin=&quot;\xef\xbb\xbf&quot; id=&quot;W5M0MpCehiHzreSzNTczkc9d&quot;?&gt; 
\n&lt;x:xmpmeta xmlns:x=&quot;adobe:ns:meta/&quot; 
x:xmptk=&quot;Adobe XMP Core 5.6-c138 79.159824, 2016/09/14-01:09:01 

 ....'
</code></pre>
<p>So, the code converts this binary string into the list of numbers by going through <code>file_content</code> and appending each bit into the <code>binary_data</code> (not sure if it's the best way, not sure why it even works), so we're getting this:</p>
<pre><code>[137, 80, 78, 71, 13, 10, 26, 10, 0, 0, 0, 13 ....]
</code></pre>
<p>The question is, how do I convert <strong>this list back</strong> into that <code>b''</code> hex binary string or whatever it is? As you can see, it has <code>\x</code> values and metadata in plain text there. Not sure how to convert it back.</p>
<p>If this way of conversion is disrative, could you suggest another way to convert binary in to a string of integers and back?</p>
<h3>I tried doing this:</h3>
<pre><code>binary_data_string = &quot;&quot;.join(map(str, binary_data))

with open(&quot;edited_img_80px.png&quot;, mode='wb') as edited_file: 
    binary_hex = bytes.fromhex(binary_data_string)
    edited_file.write(binary_hex)
</code></pre>
<p>it throws an error:</p>
<pre><code>ValueError: non-hexadecimal number found in fromhex() arg at position 58313
</code></pre>
<p>And I also tried to not convert it to a string to preserve the information about each converted item in the list and be able to convert it back into the binary, but I get:</p>
<pre><code>TypeError: fromhex() argument must be str, not list
</code></pre>",python|python-3.x,"<p>Since you're using Python 3, you can do this:</p>

<pre><code>&gt;&gt;&gt;numbers = [222, 173, 190, 239]
&gt;&gt;&gt;bytes(numbers)
b'\xde\xad\xbe\xef'
</code></pre>

<p>Cheers!</p>",2
5,47933966,Formatting log file output in python,"<p>I am writing a python script to cat and grep a log file similar to linux command <code>cat logfile | grep "" Finished processing""</code></p>

<p>Currently </p>

<pre><code>with open(""logfile"",'r') as f:
    output= [line for line in f.read().strip().split('\n') if ""Finished processing"" in line]
    print output
</code></pre>

<p>The output removes '\n' and adds a ','. I wish to format the output such that line starting after ',' gets appended to next line. I am new to python. I have heard of the format() function but not getting the exact syntax. Any help is appreciated. 
Supported python version 2.7</p>",python|logfile,"<p>Your list comprehension is a mess.  This will give you an array with each element being a line in the file without the \n.  Some of your comments make me doubtful what you are really trying to do.</p>

<pre><code>with open(""logfile"",'r') as f:
  output = [line.strip() for line in f if 'Finished processing' in line]
  print output
</code></pre>

<p>If you really wanted the lines comma separated for some reason change the print to</p>

<pre><code>print ', '.join(output)
</code></pre>",1
6,7942857,Sharing variables between two classes in Python,"<p>I felt like working on my network programming, threading and OOP skills. I've encountered a problem though.
I have a class named IRC and a class named Pong. I want to use IRC to do stuff like connecting to the server, sending messages, etc. I want to use Pong as a thread in the background which checks for a message containing ""PING"".</p>

<pre><code>class IRC:
    def Connect(self):
        try:
            HOST = sys.argv[1]
            PORT = sys.argv[2]
        except IndexError:
            print ""Usage: ""+sys.argv[0]+"" [server] [port]\n""
            sys.exit(1)
        s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        s.connect((HOST, PORT))

class Pong(threading.Thread):
    def Pong(self):
        while 1:
            IRC.s.send(""Test"") # IRC has no attribute 's'
</code></pre>

<p>Keep in mind that the code above is simplified and only for testing purposes, my question is how I can use variables in one class from another class. The variable <code>s</code> is declared and defined in IRC, but is needed in Pong too.
The interpreter complains that class IRC has no attribute 's' (I've tried calling Connect() first with a sample variable to see if it works, it doesn't).</p>

<p>How do I solve this? I'm new when it comes to threading and object orientation.</p>

<p>Thanks in advance!</p>",python|multithreading|class|variables,"<p>You'll need to call an instance of the IRC class which you can pass to the PONG constructor:</p>

<pre><code>class IRC:
    def Connect(self):
        try:
            HOST = sys.argv[1]
            PORT = sys.argv[2]
        except IndexError:
            print ""Usage: ""+sys.argv[0]+"" [server] [port]\n""
            sys.exit(1)
        self.s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        self.s.connect((HOST, PORT))

class Pong(threading.Thread):
    def __init__(self,ircclass):
        self.myirc = ircclass
    def Pong(self):
        while 1:
            self.myirc.s.send(""Test"")

gIRC = IRC
gIRC.connect()
myPong = Pong(gIRC)
</code></pre>

<p>etc.</p>",3
7,8190275,How do you to post a diff to ReviewBoard through its API?,"<p>I have been struggling to post a diff to ReviewBoard through their API.  I've managed to login to the server and create a new post, but I've failed to post correctly the contents of the diff file.</p>

<p>I'm new to writing this kind of application, but my goal is to have a one step script to:</p>

<ol>
<li>diff a file (pre-commit) with the svn repository, </li>
<li>add a review request to ReviewBoard and post the diff from the current file,</li>
</ol>

<p>May be later, the script can be part of a svn pre-commit hook.</p>

<p>My python attempt looks like:</p>

<pre><code>import urllib.request
import urllib.parse
import os.path

... login to the reviewboard server with
urllib.request.HTTPBasicAuthHandler ...

diff_path = '/path/to/file'
diff_name = 'my.diff'
diff_path = os.path.join(diff_path, diff_name)

diff_val = open(diff_path,'r')

# load the diff into the http data POST request
diff_header =                                                    \
     '-- SoMe BoUnDaRy   \n'                                     \
  +  'Content-Disposition: form-data; name=path; filename='      \
  +  '""' + diff_name + '""\n\n'                                   \
  +  diff_val.read()  + '\n'                                     \
  +  '-- SoMe BoUnDaRy --'

data ={'path': diff_header, 'basedir': '/path/to/file/in/rep'}
print( data['path'] )
data = urllib.parse.urlencode(data)
data = data.encode('utf-8')

opener.open(                                      \
    'http://xxx.xxx.x.xxx/api/review-requests/26/diffs/', data)
</code></pre>

<p>With this code I get a BAD REQUEST(400) error, specifically: ""One or more fields had errors"" (105).  </p>

<p>I'm aware that there are some libraries out there that can talk with the ReviewBoard API.  I'm also aware that post-review exists.  I'd rather not have to distribute to the other developers another python library and post-review seems less flexible when diffing files from multiple locations.</p>

<p>From the suggestion below, I've add the server response here:</p>

<pre><code>CREATING PASSWD MANAGER...
CREATING PASSWD MANAGER... done
CREATING PASSWD HANDLER...
CREATING PASSWD HANDLER... done
CREATING URL OPENER...
CREATING URL OPENER... done
LOADING DIFF... 
send: b'POST /api/review-requests/26/diffs/ HTTP/1.1\r\nAccept-Encoding: 
  identity\r\nContent-Length: 723\r\nHost: xxx.xxx.x.xxx\r\nContent-Type: 
  application/x-www-form-urlencoded\r\nConnection: close\r\nUser-Agent: 
  [empty no username+password] Python-urllib/3.2\r\n\r\
  npath=--+SoMe+BoUnDaRy+++%...[the rest of my post]
reply: 'HTTP/1.1 401 UNAUTHORIZED\r\n'
header: Date header: Server header: Content-Language header: Expires header: 
  Vary header: Cache-Control header: WWW-Authenticate header: 
  Content-Length header: Last-Modified header: Connection header: 
  Content-Type send: b'POST /api/review-requests/26/diffs/ 
  HTTP/1.1\r\nAccept-Encoding: identity\r\nContent-Length: 723\r\nHost: 
  xxx.xxx.x.xxx\r\nUser-Agent: Python-urllib/3.2\r\nConnection: 
  close\r\nContent-Type: application/x-www-form-urlencoded\r\nAuthorization: 
  Basic [with username+password]\r\n\r\npath=
  --+SoMe+BoUnDaRy+++%0AContent-Disposition%...
reply: 'HTTP/1.1 400 BAD REQUEST\r\n'
header: Date header: Server header: Content-Language header: Expires header: 
  Vary header: Cache-Control header: Set-Cookie header: Content-Length header: 
  Last-Modified header: Connection header: Content-Type HTTPError thrown
</code></pre>

<p>At first glance my guess is that something is happening to my password handler.  I'm not sure what is happening to it.  Just in case, this is how I'm generate my authentication:</p>

<pre><code>manager_passwd = urllib.request.HTTPPasswordMgr()
manager_passwd.add_password(...)
handler_passwd = urllib.request.HTTPBasicAuthHandler(manager_passwd)
opener = urllib.request.build_opener(handler_passwd)
</code></pre>

<p>The authentication seems to working.  I've tested it by create a new review post.  So it is when I post the diff that the authentication fails.</p>",python|http|review-board,"<p>Reviewboard have already a python tool for posting diff with their API, it's called postreview.py. You can found it at : </p>

<p><a href=""http://reviewboard.googlecode.com/svn/trunk/wxpostreview/postreview.py"" rel=""nofollow"">http://reviewboard.googlecode.com/svn/trunk/wxpostreview/postreview.py</a></p>

<p>Grab and use their <code>ReviewBoardServer</code> for login and post a diff !</p>

<p>(In addition, in your request, the authentification is required yes, but also the cookie file. That's why you need 2 requests (one for login and get the cookie, another one for sending the diff.))</p>",2
8,33366119,Is it possible to have a dictionary of dictionary of dictionary in python?,"<p>I would like a three-dimensional hash in python - a dictionary of a dictionary of a dictionary. I don't know if this is possible and I'm having some problems I don't understand that makes me suspect it isn't possible.  An example piece of code is below that reads two comma separated files ('tv.txt' and 'film.txt') and puts the data on a dictionary of dictionary of dictionary (dOfDofD).  The two files look like this:</p>

<p><strong>tv.txt</strong></p>

<pre><code>Muppets,female,Miss Piggy
Muppets,male,Kermit
Simpsons,female,Marge 
Simpsons,male,Homer
</code></pre>

<p><strong>film.txt</strong></p>

<pre><code>Gone with the Wind,female,Vivien Leigh
Gone with the Wind,male,Clark Gable 
Anthony and Cleopatra,female,Elizabeth Taylor 
Anthony and Cleopatra,male,Richard Burton
</code></pre>

<p>My code reads these two files and creates the dOfDofD, but when it comes to retrieve the data, it seems some of it is missing in a systematic way: only the last example of the final level of dictionary appears to exist.  The code is:</p>

<pre><code>#!/usr/bin/env python
import string

dOfDofD = {}

mediaList = ['tv', 'film']

showSet = set()

for media in mediaList:
    fName = media + "".txt""
    f = open(fName, 'r')
    for line in f:
        line = line.rstrip('\n')
        dataList = string.splitfields(line, ',')
        show = dataList[0]
        showSet.add(show)
        gender = dataList[1]
        name = dataList[2]
        dOfDofD[show] = {}
        dOfDofD[show][media] = {}
        dOfDofD[show][media][gender] = name
    f.close()

for show in showSet:
    for media in dOfDofD[show]:
        for gender in dOfDofD[show][media]:
            print ""show: %s. media: %s. gender: %s. character: %s."" % \
                    (show, media, gender, dOfDofD[show][media][gender])
</code></pre>

<p>This only prints out the male characters, as if the female ones have been overwritten (which were set up first).</p>

<pre><code>show: Simpsons. media: tv. gender: male. character: Homer. 
show: Gone with the Wind. media: film. gender: male. character: Clark Gable.
show: Muppets. media: tv. gender: male. character: Kermit. 
show: Anthony and Cleopatra. media: film. gender: male. character: Richard Burton.
</code></pre>

<p>I'm running python 2.7.6 on Ubuntu 14.04.</p>

<p>Any ideas what I'm doing wrong?</p>",python|dictionary,"<p>yes: creating nested dictionaries is possible.</p>

<p>you keep overwriting <code>dOfDofD[show]</code> for every line in your text file.</p>

<p>you could try this:</p>

<pre><code>if show in dOfDofD:
    show_dict = dOfDofD[show]
else:
    show_dict = {}
    dOfDofD[show] = show_dict
# do something with show_dict
</code></pre>

<p>and something similar for <code>dOfDofD[show][media]</code>.</p>

<p>or you could use <a href=""https://docs.python.org/3.4/library/collections.html#collections.defaultdict"" rel=""nofollow""><code>defaultdict</code></a>.</p>

<p>and seeing that your input file is comma-separated: have a look at the <a href=""https://docs.python.org/3.4/library/csv.html"" rel=""nofollow"">python <code>csv</code> module</a>.</p>",1
9,33366119,Is it possible to have a dictionary of dictionary of dictionary in python?,"<p>I would like a three-dimensional hash in python - a dictionary of a dictionary of a dictionary. I don't know if this is possible and I'm having some problems I don't understand that makes me suspect it isn't possible.  An example piece of code is below that reads two comma separated files ('tv.txt' and 'film.txt') and puts the data on a dictionary of dictionary of dictionary (dOfDofD).  The two files look like this:</p>

<p><strong>tv.txt</strong></p>

<pre><code>Muppets,female,Miss Piggy
Muppets,male,Kermit
Simpsons,female,Marge 
Simpsons,male,Homer
</code></pre>

<p><strong>film.txt</strong></p>

<pre><code>Gone with the Wind,female,Vivien Leigh
Gone with the Wind,male,Clark Gable 
Anthony and Cleopatra,female,Elizabeth Taylor 
Anthony and Cleopatra,male,Richard Burton
</code></pre>

<p>My code reads these two files and creates the dOfDofD, but when it comes to retrieve the data, it seems some of it is missing in a systematic way: only the last example of the final level of dictionary appears to exist.  The code is:</p>

<pre><code>#!/usr/bin/env python
import string

dOfDofD = {}

mediaList = ['tv', 'film']

showSet = set()

for media in mediaList:
    fName = media + "".txt""
    f = open(fName, 'r')
    for line in f:
        line = line.rstrip('\n')
        dataList = string.splitfields(line, ',')
        show = dataList[0]
        showSet.add(show)
        gender = dataList[1]
        name = dataList[2]
        dOfDofD[show] = {}
        dOfDofD[show][media] = {}
        dOfDofD[show][media][gender] = name
    f.close()

for show in showSet:
    for media in dOfDofD[show]:
        for gender in dOfDofD[show][media]:
            print ""show: %s. media: %s. gender: %s. character: %s."" % \
                    (show, media, gender, dOfDofD[show][media][gender])
</code></pre>

<p>This only prints out the male characters, as if the female ones have been overwritten (which were set up first).</p>

<pre><code>show: Simpsons. media: tv. gender: male. character: Homer. 
show: Gone with the Wind. media: film. gender: male. character: Clark Gable.
show: Muppets. media: tv. gender: male. character: Kermit. 
show: Anthony and Cleopatra. media: film. gender: male. character: Richard Burton.
</code></pre>

<p>I'm running python 2.7.6 on Ubuntu 14.04.</p>

<p>Any ideas what I'm doing wrong?</p>",python|dictionary,"<p>Following from <a href=""https://stackoverflow.com/users/4954037/hiro-protagonist"">hiro protagonist</a>'s post, here's the snipet of code I used:</p>

<pre><code>for media in mediaList:
    fName = media + "".txt""
    f = open(fName, 'r')
    for line in f:
        line = line.rstrip('\n')
        dataList = string.splitfields(line, ',')
        show = dataList[0]
        showSet.add(show)
        gender = dataList[1]
        name = dataList[2]
        if show in dOfDofD:
            if media in dOfDofD[show]:
                dOfDofD[show][media][gender] = name
            else:
                dOfDofD[show][media] = {}
                dOfDofD[show][media][gender] = name
        else:
            dOfDofD[show] = {}
            dOfDofD[show][media] = {}
            dOfDofD[show][media][gender] = name
    f.close()
</code></pre>",0
