original_title,post_corpus,question_content,question_url,tags,overall_scores,answers_content,sentiment_polarity,sentiment_subjectivity,processed_title
Forward declaration - no admin page in django?,forward declaration admin page django probably db design issue could nt figure better among several others models see httpdocsdjangoprojectcomendevrefmodelsfieldsforeignkey says,forward declaration admin page django probably db design issue could nt figure better among several others models,https://stackoverflow.com/questions/1194723,python|django|database-design|circular-dependency|forward-declaration,0.02190080040335287,"See: http://docs.djangoproject.com/en/dev/ref/models/fields/#foreignkey, which says:",0.0,0.0,forward declaration admin page django
Python 3 xmlrpc for remote objects,python 3 xmlrpc remote objects trying implement remote object implementation using xmlrpc python 3 tried example httpdocspythonorg31libraryxmlrpcserverhtmlhighlightxmlrpcsimplexmlrpcserverexample works localhost get work internal ips perhaps misunderstanding question tried running server code another machine client code changing localhost value first line client code ip address remote server,python 3 xmlrpc remote objects trying implement remote object implementation using xmlrpc python 3 tried example httpdocspythonorg31libraryxmlrpcserverhtmlhighlightxmlrpcsimplexmlrpcserverexample works localhost get work internal ips,https://stackoverflow.com/questions/1609749,python|python-3.x|remoteobject,-0.02073485851137581,"Perhaps I'm misunderstanding your question, but... Have you tried running the server code on another machine, and the client code (changing the 'localhost' value in the first line of the client code  to the IP address of the remote server?",0.075,0.26666666666666666,python 3 xmlrpc remote objects
Fill list with objects and sort (Newbie),fill list objects sort newbie new python please forgive using wrong terms b c 1 2 3 1 2 4 2 5 1 3 1 1 consider using create objects look tuple data structure python import collections mob collectionsnamedtuplemyobjabc mlist mob311 mob123 mob124 mob251 mlist myobja3 b1 c1 myobja1 b2 c3 myobja1 b2 c4 myobja2 b5 c1 x sortedmlist key lambda print x myobja1 b2 c3 myobja1 b2 c4 myobja2 b5 c1 myobja3 b1 c1,fill list objects sort newbie new python please forgive using wrong terms b c 1 2 3 1 2 4 2 5 1 3 1 1,https://stackoverflow.com/questions/1920315,python|list|sorting|object,0.04128064536459318,"Consider using a  to create your objects. (Have a look at is-there-a-tuple-data-structure-in-python.)>>> import collections
>>> mob=collections.namedtuple('myobj',('A','B','C'))
>>> mlist = [mob(3,1,1), mob(1,2,3), mob(1,2,4), mob(2,5,1)]
>>> mlist
[myobj(A=3, B=1, C=1), myobj(A=1, B=2, C=3), myobj(A=1, B=2, C=4), myobj(A=2, B=5, C=1)]
>>> for x in sorted(mlist,key=lambda o:o.A):
...     print x
...     
myobj(A=1, B=2, C=3)
myobj(A=1, B=2, C=4)
myobj(A=2, B=5, C=1)
myobj(A=3, B=1, C=1)
>>> 
",0.16531144781144783,0.46756373256373257,fill list objects sort newbie
Django Unhandled Exception,django unhandled exception running debug true mode sometimes throw error message traceback information encounter error sometimes display following lines maybe use snippet log exceptions apache log def log_tracebackexception args import sys traceback logging exceptiontype exceptionvalue exceptiontraceback sysexc_info loggingdebugexception loggingdebugargs tb tracebackformat_exceptionexceptiontype exceptionvalue exceptiontraceback loggingdebugtb,django unhandled exception running debug true mode sometimes throw error message traceback information encounter error sometimes display following lines,https://stackoverflow.com/questions/1925898,python|django,0.05678452133358543,"Maybe you can use this snippet, this will log exceptions in apache's log:def log_traceback(exception, args):
    import sys, traceback, logging
    exceptionType, exceptionValue, exceptionTraceback = sys.exc_info()
    logging.debug(exception)
    logging.debug(args)
    for tb in traceback.format_exception(exceptionType, exceptionValue, exceptionTraceback):
        logging.debug(tb)
",0.15416666666666667,0.44132580382580383,django unhandled exception
Python: Get importing module's details from within imported module,python get importing module details within imported module writing piece reusable code import need needs info importing workaround want bit ugly better way bad idea modules cached,python get importing module details within imported module writing piece reusable code import need needs info importing workaround want bit ugly better way,https://stackoverflow.com/questions/2026788,python|django|rest|import,-0.0013550135501355014,"That's a bad idea, because modules are cached.",-0.11499999999999996,0.5,python get importing module details within imported module
+ and += operators are different?,operators different difference supposed merely syntactic sugar operator appends second list first modification place id remains,operators different difference supposed merely syntactic sugar,https://stackoverflow.com/questions/2027284,python|list|operators,0.049032583349089304,"The += operator appends the second list to the first, but the modification is in-place, so the ID remains the same.",0.06672727272727272,0.40104329004329,operators different
A list vs. tuple situation in Python,list vs tuple situation python situation use list leads error must use tuple instead string formatting tuples mandatory,list vs tuple situation python situation use list leads error must use tuple instead,https://stackoverflow.com/questions/2280881,python|list|tuples,0.08779227327156992,In string formatting tuples are mandatory:,-0.09090909090909091,0.6659090909090909,list vs tuple situation python
returning out of for-loop,returning loop pretty new python wondering breaking loop easily devolve bad practice conceals terminating condition loopdef funcself foo selflist fooboolfunc return true else return false,returning loop pretty new python wondering,https://stackoverflow.com/questions/2363602,python|for-loop|while-loop,0.10717211823281023,"""Breaking out of a loop"" can easily devolve to bad practice because it conceals the terminating condition of the loop.def func(self):
    for foo in self.list:
        if foo.boolfunc():
            return True
    else:
        return False
",0.11469868955334073,0.49971853082318196,returning loop
Trouble with this Python newbie exercise. Using Lists and finding if two adjacent elements are the same,trouble python newbie exercise using lists finding two adjacent elements got compare current number previous number append new list save next loop use,trouble python newbie exercise using lists finding two adjacent elements got,https://stackoverflow.com/questions/2488651,python|list,-0.0013550135501355014,Compare the current number with the previous number. If it's not the same then append it to a new list. Then save it so that the next loop can use it.,0.0005997474747474659,0.2580176767676768,trouble python newbie exercise using lists finding two adjacent elements
Iterating over key and value of defaultdict dictionaries,iterating key value defaultdict dictionaries following works expected want iterate individual item individual collection,iterating key value defaultdict dictionaries following works expected,https://stackoverflow.com/questions/2768188,python|dictionary|iterator,0.4366294825738955,If you want to iterate over individual item on an individual collection:,0.0,0.4,iterating key value defaultdict dictionaries
Securely storing account balances in a database?,securely storing account balances database django web application need add payment module language agnostic recommendation would make sure database communicates web app read least tables deal account balances process payments manage reduction account balances database accessible anyone ie connected internet web app periodically take snapshots database update one interacts webapp users read copy balance way even user able modify data increase balance million bucks know true balance separate location basically never trust data webapp side would purely informational users,securely storing account balances database django web application need add payment module,https://stackoverflow.com/questions/5236855,python|database|django|web-applications,0.0025209554421125606,"My language agnostic recommendation would be to make sure that the database that communicates with the web app is read only; at least for the table(s) that deal with these account balances. So, you process payments, and manage the reduction of account balances in a database that is not accessible to anyone other than you (i.e. not connected to the internet, or this web app). You can periodically take snapshots of that database and update the one that interacts with the webapp, so your users have a read copy of their balance. This way, even if a user is able to modify the data to increase their balance by a million bucks, you know that you have their true balance in a separate location. Basically, you'd never have to trust the data on the webapp side - it would be purely informational for your users. ",0.1203656462585034,0.5605158730158731,securely storing account balances database
